WNT age,SHH age,G3 age,G4 age,mean0,std0,median0,q1-0,q3-0,Asia follow,US follow,median1,q1-1,q3-1,TP53+ age,TP53- age,mean-2,std-2,median-2,q1-2,q3-2,Asia age,US age,mean-3,std3,median3,q1-3,q3-3,four-type age,VS age,TP age,followup-all,mean4,std4,median4,q1-4,q3-4,internal-age,external-age,all-age,mean(std),"median(Q1, Q3)"
6,4,4,10,,,,,,59,15.1,,,,5,13,,,,,,9,5.2,,,,,,3,9,4,59,,,,,,10,4,10,,
8,2,2,4,,,,,,10,76.4,,,,12,8,,,,,,3,4.6,,,,,,10,3,2,10,,,,,,14,10,14,,
6,20,3,8,,,,,,66,46.3,,,,5,9,,,,,,10,11.7,,,,,,14,10,20,66,,,,,,8,11,8,,
11,6,39,14,,,,,,41,111.7,,,,2,6,,,,,,14,6.2,,,,,,10,14,6,41,,,,,,4,16,4,,
14,8,4,8,,,,,,28,144.8,,,,8,3,,,,,,10,12.5,,,,,,8,10,8,28,,,,,,5,1.5,5,,
6,5,7,6,,,,,,60,133.7,,,,7,5,,,,,,8,3.7,,,,,,4,8,5,60,,,,,,7,10,7,,
8,11,5,3,,,,,,60,114.4,,,,8,10,,,,,,4,9.3,,,,,,5,4,11,60,,,,,,7,3,7,,
10,1,16,7,,,,,,35,51.8,,,,4,25,,,,,,5,13,,,,,,7,5,1,35,,,,,,10,10,10,,
6,3,7,11,,,,,,60,110.4,,,,3.58,13,,,,,,7,12,,,,,,7,7,3,60,,,,,,13,8,13,,
16,7,2,7,,,,,,65,45.4,,,,15,7,,,,,,7,9.7,,,,,,10,7,7,65,,,,,,34,4,34,,
5,7,7,4,,,,,,15,26.3,,,,11,13,,,,,,10,13.3,,,,,,34,10,7,15,,,,,,7,3,7,,
12,4,8,7,,,,,,61,8.2,,,,4,10,,,,,,13,15.4,,,,,,7,13,4,61,,,,,,6,10,6,,
15,34,16,29,,,,,,8.2,59,,,,8,12,,,,,,34,6.4,,,,,,6,34,34,8.2,,,,,,7,9,7,,
7,4,4,3,,,,,,24,62.1,,,,5,39,,,,,,7,6.4,,,,,,7,7,4,24,,,,,,10,5,10,,
15,8,4,12,,,,,,59,33.9,,,,6,4,,,,,,6,11.6,,,,,,10,6,8,59,,,,,,9,9,9,,
8,6,9,4,,,,,,58,3,,,,2,15,,,,,,7,4.3,,,,,,9,7,6,58,,,,,,5,13,5,,
12,6,11,8,,,,,,12,73.3,,,,,6,,,,,,10,3.8,,,,,,7,10,6,12,,,,,,7,17,7,,
17,13,6,5,,,,,,44,18.7,,,,,21,,,,,,9,4.6,,,,,,5,9,13,44,,,,,,8,2.75,8,,
20,8,12,5,,,,,,62,48.5,,,,,12,,,,,,7,13.3,,,,,,13,7,8,62,,,,,,12,3,12,,
16,8,4,12,,,,,,58,13.6,,,,,2,,,,,,5,14,,,,,,7,5,8,58,,,,,,7,4,7,,
8,8,10,20,,,,,,62,27.1,,,,,7,,,,,,13,2.1,,,,,,8,13,8,62,,,,,,13,6.83,13,,
11,13,12,7,,,,,,57,18.9,,,,,40,,,,,,7,8.9,,,,,,12,7,13,57,,,,,,15,0.3,15,,
6,8,5,18,,,,,,61,1.4,,,,,54,,,,,,8,9.9,,,,,,7,8,8,61,,,,,,1,3.3,1,,
9,9,6,5,,,,,,7,57.7,,,,,7,,,,,,12,9.9,,,,,,13,12,9,7,,,,,,2,1.7,2,,
4,6,4,2,,,,,,57,20,,,,,11,,,,,,7,4.1,,,,,,15,7,6,57,,,,,,4,15.5,4,,
7,3,14,3,,,,,,61,45.6,,,,,5,,,,,,13,20.9,,,,,,1,13,3,61,,,,,,4,7.8,4,,
13,5,6,6,,,,,,57,20.8,,,,,53,,,,,,15,9.7,,,,,,2,15,5,57,,,,,,21,13.8,21,,
10,4,4,6,,,,,,84,19.3,,,,,3,,,,,,1,15.4,,,,,,4,1,4,84,,,,,,10,7.2,10,,
7,10,7,10,,,,,,18,91.6,,,,,13,,,,,,2,7.7,,,,,,4,2,10,18,,,,,,9,3.8,9,,
8,25,7,7,,,,,,6,99.9,,,,,3,,,,,,4,10,,,,,,21,4,25,6,,,,,,9,8.2,9,,
7,13,4,12,,,,,,57,3.6,,,,,4,,,,,,4,3.9,,,,,,9,4,13,57,,,,,,6,11.1,6,,
11,7,3.5,2,,,,,,35,66.6,,,,,11,,,,,,21,7.4,,,,,,9,21,7,35,,,,,,7,8.3,7,,
14,13,10,21,,,,,,62,57.8,,,,,6,,,,,,10,5.1,,,,,,6,10,13,62,,,,,,8,15.2,8,,
9,10,10,12,,,,,,57,51,,,,,7,,,,,,9,4.1,,,,,,7,9,10,57,,,,,,7,9.1,7,,
9,12,4,13,,,,,,56,19,,,,,9,,,,,,9,4,,,,,,8,9,12,56,,,,,,25,10.6,25,,
13,39,10,8,,,,,,62,18.7,,,,,11,,,,,,6,5.7,,,,,,7,6,39,62,,,,,,3,11.6,3,,
14,4,9,5,,,,,,56,110.8,,,,,50,,,,,,7,13.9,,,,,,25,7,4,56,,,,,,16,10,16,,
13,15,11,6,,,,,,56,25.8,,,,,6,,,,,,8,1.4,,,,,,3,8,15,56,,,,,,4,12.6,4,,
12,6,4,6,,,,,,56,27.5,,,,,22,,,,,,7,11.4,,,,,,16,7,6,56,,,,,,9,1.3,9,,
13,52,3,4,,,,,,60,11.2,,,,,40,,,,,,25,0.8,,,,,,4,25,52,60,,,,,,10,3.4,10,,
10,6,9,10,,,,,,56,48.2,,,,,46,,,,,,3,16.2,,,,,,9,3,6,56,,,,,,4,7.1,4,,
6,21,7,7,,,,,,60,109.8,,,,,15,,,,,,16,10.4,,,,,,10,16,21,60,,,,,,11,36.3,11,,
9,5,3,7,,,,,,55,38,,,,,34,,,,,,4,5.6,,,,,,4,4,5,55,,,,,,3,13.3,3,,
13,12,3,11,,,,,,60,43.9,,,,,4,,,,,,9,5.6,,,,,,11,9,12,60,,,,,,6,6.2,6,,
9,7,7,9,,,,,,53,4.3,,,,,1,,,,,,10,2.4,,,,,,3,10,7,53,,,,,,11,12.5,11,,
14,2,14,7,,,,,,56,51,,,,,6,,,,,,4,2,,,,,,6,4,2,56,,,,,,8,12,8,,
16,4,2,6,,,,,,42,31.5,,,,,5,,,,,,11,10.2,,,,,,11,11,4,42,,,,,,6,13.3,6,,
7,7,2,8,,,,,,82,10,,,,,31,,,,,,3,3,,,,,,8,3,7,82,,,,,,6,6.4,6,,
6,40,7,13,,,,,,4,12.2,,,,,12,,,,,,6,6,,,,,,6,6,40,4,,,,,,5,11.6,5,,
5.83,54,7,3,,,,,,40,49.1,,,,,2,,,,,,11,8,,,,,,6,11,54,40,,,,,,6,4.3,6,,
9,7,2.1,6,,,,,,29,17.8,,,,,3,,,,,,8,3,,,,,,5,8,7,29,,,,,,10,14,10,,
5,2,4.6,10,,,,,,32,50,,,,,7,,,,,,6,3,,,,,,6,6,2,32,,,,,,3,9.9,3,,
8,9,6.1,7,,,,,,59,57.4,,,,,8,,,,,,6,5,,,,,,10,6,9,59,,,,,,4,9.9,4,,
7,11,3.5,9,,,,,,55,62.4,,,,,2,,,,,,5,16,,,,,,3,5,11,55,,,,,,2,4.1,2,,
10,5,3.8,10,,,,,,41.1,65.2,,,,,12,,,,,,6,13,,,,,,4,6,5,41.1,,,,,,5,9.7,5,,
10,7,11.1,6,,,,,,59,61.6,,,,,16,,,,,,10,9,,,,,,2,10,7,59,,,,,,4,10,4,,
3,53,5.6,9,,,,,,59,24.8,,,,,3,,,,,,3,6,,,,,,5,3,53,59,,,,,,8,5.1,8,,
6,5,5.2,5,,,,,,55,68.5,,,,,11,,,,,,4,7,,,,,,4,4,5,55,,,,,,7,13.9,7,,
5,10,6.2,6,,,,,,17,18.9,,,,,1,,,,,,2,6,,,,,,7,2,10,17,,,,,,14,11.4,14,,
6,3,3.7,6,,,,,,54,69.2,,,,,2,,,,,,5,5,,,,,,8,5,3,54,,,,,,12,5.6,12,,
9.6,6,4.3,1,,,,,,54,72.5,,,,,14,,,,,,4,9,,,,,,14,4,6,54,,,,,,16,5.6,16,,
5.4,3,3.8,14,,,,,,54,71.8,,,,,8,,,,,,8,11,,,,,,12,8,3,54,,,,,,8,3,8,,
9.6,13,4.6,3,,,,,,58,73.9,,,,,1,,,,,,7,8,,,,,,8,7,13,58,,,,,,6,6,6,,
13,3,2.1,4,,,,,,54,72,,,,,4,,,,,,8,13,,,,,,6,8,3,54,,,,,,5,8,5,,
9,43,4.1,3,,,,,,31,12.4,,,,,2,,,,,,14,7,,,,,,5,14,43,31,,,,,,38,3,38,,
1.75,4,15.4,11,,,,,,58,20.6,,,,,2,,,,,,12,8,,,,,,38,12,4,58,,,,,,5,5,5,,
8,11,11.4,7,,,,,,22,11.5,,,,,7,,,,,,16,7,,,,,,5,16,11,22,,,,,,4,16,4,,
9,6,5.6,18,,,,,,54,28.5,,,,,11,,,,,,8,8,,,,,,6,8,6,54,,,,,,6,13,6,,
9,6,2.4,19,,,,,,4,30.2,,,,,8,,,,,,6,5,,,,,,3,6,6,4,,,,,,3,9,3,,
23,34,10.2,8,,,,,,18,23.8,,,,,10,,,,,,5,18,,,,,,17,5,34,18,,,,,,4,6,4,,
3,7,3,10,,,,,,23,41.1,,,,,13,,,,,,38,8,,,,,,7,38,7,23,,,,,,17,7,17,,
31,11,,6,,,,,,30,41.7,,,,,7,,,,,,5,2,,,,,,5,5,11,30,,,,,,7,5,7,,
