Experiment,Test AUC Overall,Test AUC Per Fold,Test AUC Per Subtype,Test F1 Overall,Test F1 Per Fold,Test F1 Per Subtype,Validation AUC Overall,Validation AUC Per Subtype,Validation F1 Overall,Validation F1 Per Subtype,Golden AUC Overall,Golden AUC Per Subtype,Golden F1 Overall,Golden F1 Per Subtype,details file
Age_Radio,0.5739,"[0.6554, 0.5, 0.5]",[0.644  0.581  0.4968],0.42,"[0.5595, 0.0349, 0.4136]","[0.268, 0.5866, 0.1404]",0.6486,"[0.7542, 0.649, 0.5427]",0.5838,"[0.4308, 0.7226, 0.36]",0.709,"[0.7799, 0.697, 0.65]",0.6386,"[0.4, 0.7667, nan]",Age_Radio_02140955.txt
Age_Radio,0.7786,"[0.7738, 0.7438, 0.8432]",[0.844  0.747  0.7447],0.6103,"[0.6, 0.5598, 0.6651]","[0.5233, 0.6812, 0.5016]",0.785,"[0.844, 0.7207, 0.7903]",0.6456,"[0.5238, 0.7034, 0.5783]",0.7475,"[0.7761, 0.7603, 0.7062]",0.6242,"[0.2353, 0.75, 0.2667]",Age_Radio_02221421.txt
Age_Radio,0.766,"[0.7492, 0.7302, 0.8417]",[0.8371 0.7331 0.7279],0.6039,"[0.5845, 0.5539, 0.665]","[0.5087, 0.6728, 0.5032]",0.7849,"[0.8549, 0.7191, 0.7808]",0.6508,"[0.55, 0.6986, 0.5952]",0.7749,"[0.7645, 0.7851, 0.775]",0.6446,"[0.25, 0.7636, 0.3529]",Age_Radio_04010302.txt
Age_Radio,0.766,"[0.7492, 0.7302, 0.8417]",[0.8371 0.7331 0.7279],0.6039,"[0.5845, 0.5539, 0.665]","[0.5087, 0.6728, 0.5032]",0.7849,"[0.8549, 0.7191, 0.7808]",0.6508,"[0.55, 0.6986, 0.5952]",0.7749,"[0.7645, 0.7851, 0.775]",0.6446,"[0.25, 0.7636, 0.3529]",Age_Radio_04010304.txt
Age_Radio,0.766,"[0.7492, 0.7302, 0.8417]",[0.8371 0.7331 0.7279],0.6039,"[0.5845, 0.5539, 0.665]","[0.5087, 0.6728, 0.5032]",0.7849,"[0.8549, 0.7191, 0.7808]",0.6508,"[0.55, 0.6986, 0.5952]",0.7749,"[0.7645, 0.7851, 0.775]",0.6446,"[0.25, 0.7636, 0.3529]",Age_Radio_04010305.txt
Age_Radio,0.775,"[0.7632, 0.7406, 0.842]",[0.8447 0.7391 0.7411],0.6216,"[0.6045, 0.5601, 0.6947]","[0.5301, 0.6837, 0.5333]",0.7784,"[0.8345, 0.7205, 0.7802]",0.6654,"[0.5641, 0.7123, 0.6118]",0.7447,"[0.7683, 0.7658, 0.7]",0.6256,"[0.25, 0.7407, 0.3333]",Age_Radio_04011242.txt
